"address/buildingId","address/city","address/state","address/streetAddress","address/zipcode","cityId","stateId","price/changedDate","price/priceChange","price/pricePerSquareFoot","price/suffix","price/value","homeStatus","datePostedString","description"
,"JACKSONVILLE","FL","12347 ARROWLEAF LN","32225","25290","14",,,"215",,"375000","FOR_SALE","2023-10-16","This home is a wonderful 3/2 home in a very family friendly neighborhood.It has been well maintained and enjoyed! Easy location to grocery stores hardware stores and the beaches."
,"JACKSONVILLE","FL","3614 DUCK POND CT","32226","25290","14",,,"208",,"374900","FOR_SALE","2023-10-16","Highly sought after community in Northside Jacksonville off New Berlin. Super convenience location, minutes from I-295. New Berlin Elementary School is across the street. William F Sheffield Regional Park is next to the school. Just 2 minutes to Publix shopping center, Walmart, Medical offices, shoppes, Gate gas station, and multiple restaurants. 10 minutes to River City Marketplace! 15 minutes to Jax Airport! This magnificent home has LVP flooring throughout the house. The front and backyard has beautiful Bermuda grass! Fore! Fenced backyard, ceiling fans, irrigation system."
,"Zephyrhills","FL","36393 Camp Fire Ter","33541","55296","14",,,"171",,"263820","FOR_SALE","2023-10-16","Under Construction. The first floor of this two-story townhome includes an expansive Great Room with direct access to the cozy nook and well-equipped kitchen, which has a covered patio attached. Upstairs, a multipurpose loft divides the lavish owner’s suite from the additional bedroom, both of which feature private bathrooms for convenience. Interior photos disclosed are different from the actual model being built. Welcome to Abbott Square, a masterplan community of new single-family homes, townhomes and villas for sale in Zephyrhills, FL. Homeowners can gather with friends at the onsite clubhouse lounge or cool off at the resort-style swimming pool. This great community also includes a fitness gym, game room, BBQ grills and green spaces, along with other great amenities. Minutes from the community are local golf courses, schools, recreation sites and the opportunity for water sport activities, such as fishing and boating."
"1003919935","Sarasota","FL","4264 Central Sarasota Pkwy APT 112","34238","20362","14",,,"327",,"375500","FOR_SALE","2023-10-16","Completely renovated this fantastic 1st floor corner unit has an amazing watering view down the lake from the Living Room and both bedrooms.  2 bedrooms, 2 baths have been freshly painted and the Pride of Ownership shows! Beautiful, easy care wood grain tile throughout and no carpet! The kitchen is beautiful with stone countertops, soft closing drawers and cabinets plus an oversized pantry with pull out shelving. Relax on the large lanai and put your feet up. The washer and dryer are in the condo. The Clubhouse has a large Heated Community Pool, Spa, Fitness Center and Tennis Court.  All roofs were just replaced in 2023 with the assessment paid. Perfect for primary home, second home or Investors Alert with solid rental history. Come take a look, you will love it."
,"Cocoa","FL","7160 Holly Ave","32927","10889","14",,,"237",,"429000","FOR_SALE","2023-10-16","Stunning 4-Bedroom Home with Screened Pool & Modern Updates! As you step inside, you'll  notice plenty of space for family & friends to gather.All appliances are included, making meal preparation a breeze. Step outside to the screened-in lanai, where you can unwind and savor the beautiful Florida weather. Take a dip in the generously sized pool, perfect for those hot summer days, and enjoy all the outdoor entertainment possibilities this space offers.The backyard is fenced, providing privacy and security, and a shed is included, providing additional storage."
,"The Villages","FL","3484 Richmond Dr","32162","7403","14",,,"281",,"336000","FOR_SALE","2023-10-16","Looking for a MOVE-IN READY home with all FURNITURE & FURNISHINGS INCLUDED? Add to that a NEWER Architectural Shingle Roof (Nov 2020) & Carrier HVAC System (2021) and a PAID-OFF BOND – making this the perfect low-cost, low-maintenance home! * Located in the heart of The Villages, close to Lake Sumter Landing & Spanish Springs Town Square, this beautifully Updated & Upgraded ""Corpus Christi"" model showcases an OPEN CONCEPT layout with Vinyl Plank Flooring throughout, except the bedrooms which have like-new carpet (shampooed on 10/7). * The UPDATED KITCHEN is FULLY STOCKED (dishes, cookware, coffee maker, toaster & more!) and features modern GRANITE Countertops, Tile Backsplash, Stainless Appliances (including GAS COOKING) & White Shaker Cabinets with Under-Cabinet Lighting; while added Solar Tubes provide natural light. * The Master Bedroom boasts a spacious Walk-In Closet and En-Suite Bathroom with Vinyl Tile Flooring, Dual-Sink Vanity, Tiled Walk-In Shower & Linen Closet. * Bedrooms 2 & 3 (one with closet; one without) are privately located behind a Pocket Door on the opposite side of the home and share an updated Guest Bathroom with Quartz-topped Vanity & Tub-Shower Combo. * The OPEN CONCEPT Living & Dining area provides access to a lovely Lanai / Florida Room with excellent PRIVACY (NO ""Kissing Lanais""), thanks to the unique lot positioning (see photos); while the outdoor Patio offers ample space for grilling & chilling. * The Garage has room for your vehicle & storage needs with a designated spot for your Golf Cart, Attic Storage access, and a generous Pantry/Storage Closet located just inside, near the Kitchen; not to mention a Whole-House Water Filtration System and Updated Top-Load Washer (2020).* Situated in the village of Belle Aire, near County Road 466 with golf-cart access to Shopping, Dining & Nightly Entertainment at Lake Sumter Landing & Spanish Springs Town Square. You'll find yourself just a stone's throw away from the renowned Glenview Country Club & Championship Golf Course, Savannah Regional Recreation Center & Scarlett O'Hara Theater, and The Villages Polo Club. Whether you're a golf enthusiast, a theater lover, or simply enjoy an active lifestyle, this area has it all. From the countless Golf Courses & Swimming Pools to the Tennis & Pickle Ball Courts, Shopping Centers, Restaurants & much more, you'll never have a dull moment in The Villages! * PLEASE WATCH OUR WALKTHROUGH VIDEO OF THIS BEAUTIFULLY UPDATED, TURNKEY HOME & CALL TODAY to schedule your Private Showing or Virtual Tour."
,"JACKSONVILLE","FL","12600 ITANI CT","32226","25290","14","1697256000000","-10000","172",,"369900","FOR_SALE","2023-10-16","Newer, Modern House, Finished Concrete Floors, open floor plan, stainless steel appliances, Granite and Quartz Countertops. Double Sinks all bathrooms. 
All privacy toilets.
Triple sliding glass door. Soaring ceilings and amazing natural light. Energy features, spray foam insulation in the walls and ceiling, low-E windows and insulated attic space. Fenced Backyard, lots of storage, including walk-in closets, large linen closets. A TerraWise Home has energy efficiency built in from the ground up. Wider exterior walls insulated with 62% higher R-Value than required by code, attics sealed with spray foam insulation, argon gas filled windows, hybrid heat-pump water heaters, and LED lights are just some of the features included to achieve the highest energy efficiencies possible.
In a nutshell, every aspect of the design and construction places a premium on energy efficiency.
Most builders provide the bare minimum when it comes to energy efficiency and home designs. At TerraWise, it's the cornerstone of everything we do. A quick comparison of our Standard Features to those of the typical builder new home shows the difference. Across the board, a TerraWise home offers buyers built in savings with the utmost in energy efficiency resulting in lower utility bills and more buying power."
,"Cape Coral","FL","4200 Santa Barbara Blvd","33914","30742","14",,,"262",,"329000","FOR_SALE","2023-10-16","Experience this newly Renovated home Two Bedrooms, two full bathrooms plus den. Located just minutes to Publix, Walmart, Lowe’s, Home Depot, various restaurants and just 12 minutes to Fort Myers!  Roof done November 2022 freshly landscaped yard, updated exterior paint. Enter through the double front doors and enjoy vinyl flooring throughout.  Open living space, brand-new cabinets, quartz counters and stainless-steel appliances. With a split floor plan. ALL ASSESSMENTS PAID!..."
,"Davenport","FL","110 Bonville Dr","33837","24319","14",,,"163",,"480000","FOR_SALE","2023-10-16","This outstanding 5 bedroom 3 bath private pool home is located in popular Highlands Reserve golf community which makes the property attractive to residential, investment, and vacation home buyers. Conveniently located minutes from numerous theme parks of Disney, Universal, and SeaWorld and close to shopping, restaurants, and local schools. This will convey furnished and the current owners have used this is a second home for friends and family. New carpet & roof installed this year (2023)."
,"Davenport","FL","504 Zamora Way","33837","24319","14",,,"232",,"485000","FOR_SALE","2023-10-16","Now is the time to enjoy an ACTIVE LIFESTYLE in the 55+ community of Del Webb Orlando. GORGEOUS THREE bedroom PLUS Den, two bathroom, two car garage home. You will LOVE having the OVERSIZED Screened lanai as an outdoor living space especially on these cool Fall evenings. Follow the brick pavers along the front entrance to the screened front porch up to the gorgeous Decorative Glass door.  You’ll the 20” Decorative Tile throughout the whole home, leading into the 18’x18’ Great Room open to the Kitchen and Dining Room. The gourmet kitchen has Stainless Steel appliances, Premium 42” White Glazed Cabinets, QUARTZ counters, GAS range, tile backsplash, pantry and HUGE Island with pendant lightning for entertaining. Tucked in the back of the home is the Owners Retreat which features a HUGE walk-in closet and private en-suite bathroom with Dual Sinks, Granite Counters, Walk-in Shower & Soaking Tub. Split Bedroom plan with guest bedrooms and full bathroom at the front of the home. Head outside under the covered and screened patio, perfect for entertaining. Bonus, the garage was built with an extended four feet in depth making it big enough to accommodate a large Truck or even a golf cart. Huge Laundry Room with cabinets for storage, laundry sink & washer & dryer included. This guard gated community features the 30,000 sq. ft. Montecito clubhouse which is Walking Distance to the fitness center, INDOOR heated pool and hot tub, resort style OUTDOOR POOL and hot tub, grand ballroom, game room and La Tapeneade Tavern. Outdoors you will enjoy pickle ball, tennis, bocce ball, basketball, dog park, walking trails and golf (for an extra fee) at the 18- hole White Heron Golf Club. There’s over 50 activity clubs to join to be as socially connected as you want to be.  Located centrally between Orlando and Tampa just off I-4. Just across the street from Advent Health Hospital. Close to Orlando’s Theme Parks to entertain your guests at: DISNEY World, Legoland and Universal Studios. Just minutes to Posner Park which features an outdoor complex for shopping, restaurants and entertainment."
